fileName,countRef,countCdx
nlmenu.en/images/kap_g.gif,0,0
nlmenu.en/images/kap_h.gif,0,0
nlmenu.en/images/kap_i.gif,0,0
nlmenu.en/images/kap_j.gif,0,0
nlmenu.en/images/kap_k.gif,0,0
nlmenu.en/images/kap_l.gif,0,0
nlmenu.en/images/kap_m.gif,0,0
nlmenu.en/images/kap_n.gif,0,0
nlmenu.en/images/kap_o.gif,0,0
nlmenu.en/images/kap_p.gif,0,0
nlmenu.en/images/kap_q.gif,0,0
nlmenu.en/images/kap_r.gif,0,0
nlmenu.en/images/kap_s.gif,0,0
nlmenu.en/images/kap_t.gif,0,0
nlmenu.en/images/kap_u.gif,0,0
nlmenu.en/images/kap_v.gif,0,0
nlmenu.en/images/kap_w.gif,0,0
nlmenu.en/images/kap_x.gif,0,0
nlmenu.en/images/kap_y.gif,0,0
nlmenu.en/images/kap_z.gif,0,0
nlmenu.en/images/kblogo.gif,0,0
nlmenu.en/images/kbsurfnet_logo2.gif,0,0
nlmenu.en/images/kbsurfnet_logo.gif,0,0
nlmenu.en/images/kop_224.en.gif,0,0
nlmenu.en/images/kop_224.gif,0,0
nlmenu.en/images/kop_226.en.gif,0,0
nlmenu.en/images/kop_226.gif,0,0
nlmenu.en/images/kop_227.en.gif,0,0
nlmenu.en/images/kop_227.gif,0,0
nlmenu.en/images/kop_228.en.gif,0,0
nlmenu.en/images/kop_228.gif,0,0
nlmenu.en/images/kop_232.en.gif,0,0
nlmenu.en/images/kop_232.gif,0,0
nlmenu.en/images/kop_233.en.gif,0,0
nlmenu.en/images/kop_233.gif,0,0
nlmenu.en/images/kop_236.en.gif,0,0
nlmenu.en/images/kop_236.gif,0,0
nlmenu.en/images/kop_237.en.gif,0,0
nlmenu.en/images/kop_237.gif,0,0
nlmenu.en/images/kop_238.en.gif,0,0
nlmenu.en/images/kop_238.gif,0,0
nlmenu.en/images/kop_239.gif,0,0
nlmenu.en/images/kop_245.en.gif,0,0
nlmenu.en/images/kop_245.gif,0,0
nlmenu.en/images/kop_315.en.gif,0,0
nlmenu.en/images/kop_315.gif,0,0
nlmenu.en/images/kop_404.gif,0,0
nlmenu.en/images/kop_433.en.gif,0,0
nlmenu.en/images/kop_433.gif,0,0
nlmenu.en/images/kop_aanmelden.eng.gif,0,0
nlmenu.en/images/kop_aanmelden.gif,0,0
nlmenu.en/images/kop_email.gif,0,0
nlmenu.en/images/kop_gastenboek.eng.gif,0,0
nlmenu.en/images/kop_gastenboek.gif,0,0
nlmenu.en/images/kop_gemeenten.en.gif,0,0
nlmenu.en/images/kop_gemeenten.nl.gif,0,0
nlmenu.en/images/kop_handig.eng.gif,0,0
nlmenu.en/images/kop_handig.gif,0,0
nlmenu.en/images/kop_intro.eng.gif,0,0
nlmenu.en/images/kop_intro.gif,0,0
nlmenu.en/images/kop_mailinglist.eng.gif,0,0
nlmenu.en/images/kop_mailinglist.gif,0,0
nlmenu.en/images/kop_nieuwdezeweek.eng.gif,0,0
nlmenu.en/images/kop_nieuwdezeweek.gif,0,0
nlmenu.en/images/kop_plaatsenaz.eng.gif,0,0
nlmenu.en/images/kop_plaatsenaz.gif,0,0
nlmenu.en/images/kop_provincies.en.gif,0,0
nlmenu.en/images/kop_provincies.nl.gif,0,0
nlmenu.en/images/kop_religie.eng.gif,0,0
nlmenu.en/images/kop_rubriekenaz.eng.gif,0,0
nlmenu.en/images/kop_rubriekenaz.gif,0,0
nlmenu.en/images/kop_sitesaz.eng.gif,0,0
nlmenu.en/images/kop_sitesaz.gif,0,0
nlmenu.en/images/kop_webwijzers.gif,0,0
nlmenu.en/images/kop_wegwijzers.eng.gif,0,0
nlmenu.en/images/kop_wegwijzers.gif,0,0
nlmenu.en/images/kop_wijzigen.eng.gif,0,0
nlmenu.en/images/kop_wijzigen.gif,0,0
nlmenu.en/images/kop_zoekresultaat.eng.gif,0,0
nlmenu.en/images/kop_zoekresultaat.gif,0,0
nlmenu.en/images/kunstcult2.gif,0,0
nlmenu.en/images/lijn3.gif,0,0
nlmenu.en/images/lijn4.gif,0,0
